pro,city,code,pro_code,city_code,city,lat,lon,纬度,经度,最近距离千米,最近港口,
新疆维吾尔自治区,哈密地区,325,65,652200,哈密地区,42.8332,93.5132,42.8332,93.5132,2073.3592,天津港,
新疆维吾尔自治区,昌吉回族自治州,326,65,652300,昌吉回族自治州,44.0146,87.304,44.0146,87.304,2580.6674,天津港,
新疆维吾尔自治区,博尔塔拉蒙古自治州,327,65,652700,博尔塔拉蒙古自治州,44.9033,82.0748,44.9033,82.0748,2997.2987,天津港,
新疆维吾尔自治区,巴音郭楞蒙古自治州,328,65,652800,巴音郭楞蒙古自治州,41.7686,86.151,41.7686,86.151,2679.1111,天津港,
新疆维吾尔自治区,阿克苏地区,329,65,652900,阿克苏地区,41.1707,80.2651,41.1707,80.2651,3173.6929,天津港,
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,330,65,653000,克孜勒苏柯尔克孜自治州,39.7134,76.1728,39.7134,76.1728,3543.238,天津港,
新疆维吾尔自治区,喀什地区,331,65,653100,喀什地区,39.4677,75.9891,39.4677,75.9891,3564.5248,天津港,
新疆维吾尔自治区,伊犁哈萨克自治州☆,333,65,654000,伊犁哈萨克自治州,43.9219,81.3179,43.9219,81.3179,3059.6664,天津港,
新疆维吾尔自治区,塔城地区,334,65,654200,塔城地区,46.7463,82.9857,46.7463,82.9857,2934.6299,天津港,
新疆维吾尔自治区,阿勒泰地区,335,65,654300,阿勒泰地区,47.8484,88.1396,47.8484,88.1396,2566.6686,天津港,
河北省,秦皇岛市,3,13,130300,秦皇岛市,39.9425,119.587,39.9425,119.587,4.9113745,秦皇岛港,
河北省,承德市,8,13,130800,承德市,40.9762,117.939,40.9762,117.939,185.26052,秦皇岛港,
内蒙古自治区,锡林郭勒盟,33,15,152500,锡林郭勒盟,43.944,116.091,43.944,116.091,534.29841,秦皇岛港,
河北省,石家庄市,1,13,130100,石家庄市,38.0455,114.502,38.0455,114.502,299.52534,黄骅港,
河北省,邯郸市,4,13,130400,邯郸市,36.6123,114.491,36.6123,114.491,356.26554,黄骅港,
河北省,邢台市,5,13,130500,邢台市,37.0682,114.509,37.0682,114.509,329.87231,黄骅港,
河北省,沧州市,9,13,130900,沧州市,38.3106,116.857,38.3106,116.857,92.041909,黄骅港,
河北省,衡水市,11,13,131100,衡水市,37.7351,115.666,37.7351,115.666,206.97437,黄骅港,
山西省,阳泉市,14,14,140300,阳泉市,37.8612,113.583,37.8612,113.583,382.15,黄骅港,
山西省,长治市,15,14,140400,长治市,36.1911,113.114,36.1911,113.114,485.74044,黄骅港,
山西省,晋城市,16,14,140500,晋城市,35.4976,112.851,35.4976,112.851,548.07311,黄骅港,
山西省,晋中市,18,14,140700,晋中市,37.6965,112.736,37.6965,112.736,458.59747,黄骅港,
山西省,运城市,19,14,140800,运城市,35.0228,111.004,35.0228,111.004,716.28478,黄骅港,
山西省,临汾市,21,14,141000,临汾市,36.0842,111.518,36.0842,111.518,618.01443,黄骅港,
